name,orig_smiles,prot_smiles,mmgbsa_score,mmgbsa_score_sem,mmpbsa_score,mmpbsa_score_sem,vina_score,qed_score
ZINCtG00000317yB,CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)Oc1cc([N+](=O)[O-])c(Cl)cc1C,CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)Oc1cc([N+](=O)[O-])c(Cl)cc1C,-36.61351721180947,0.4364550434458486,-29.158291904761843,0.4861322598568545,-9.374,0.27557564372411486
ZINCoV000007my54,C[C@H](CC(=O)Oc1c(Br)cc(Br)cc1Br)c1c[nH]c2ccccc12,C[C@H](CC(=O)Oc1c(Br)cc(Br)cc1Br)c1c[nH]c2ccccc12,-36.6131191190476,0.2447064955655382,-28.88655309523809,0.1657126277713878,-9.709,0.315860657032794
ZINCqH00000ojwm0,CCNC(=O)c1cccc(C)c1OC(=O)CCc1c[nH]c2ccccc12,CCNC(=O)c1cccc(C)c1OC(=O)CCc1c[nH]c2ccccc12,-36.61303309104765,0.2962771326654287,-26.768584047619072,0.4339294272588345,-9.337,0.5250975715385577
ZINCoU00000KKsyg,[N-]=[N+]=Nc1cccc(OCC(=O)CC23CC4CC(CC(C4)C2)C3)c1,[N-]=[N+]=Nc1cccc(OCC(=O)CC23CC4CC(CC(C4)C2)C3)c1,-36.61291898419049,0.2972902547531883,-31.40922261904762,0.3046729242524054,-7.899,0.41017418782453074
ZINCoR00000tM1yH,COc1cc(Br)cc(OC(=O)CCc2c(C)[nH]c3ccccc23)c1,COc1cc(Br)cc(OC(=O)CCc2c(C)[nH]c3ccccc23)c1,-36.61238489371421,0.5946538049742106,-28.76580404761897,0.4317544447384737,-8.979,0.5053906629721643
ZINCnS00000q8hLY,COC[C@@H](COC(=O)c1[nH]c2cc(Cl)cc(Cl)c2c1C)C(C)C,COC[C@@H](COC(=O)c1[nH]c2cc(Cl)cc(Cl)c2c1C)C(C)C,-36.61202174400002,0.3802468468287241,-30.39485285714288,0.3277416896284714,-7.854,0.7506600901441652
ZINCtK0000005yTN,COc1ccc(OC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)C(C)C)cc1I,COc1ccc(OC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)C(C)C)cc1I,-36.61201468323814,0.4186457731719364,-27.77100571428576,0.4272335547991256,-8.766,0.2878432035337431
ZINCtN000000DfpH,CC(=O)N[C@@H](Cc1c[nH]c2cc(F)ccc12)C(=O)Oc1cc(C)cc(C(C)C)c1,CC(=O)N[C@@H](Cc1c[nH]c2cc(F)ccc12)C(=O)Oc1cc(C)cc(C(C)C)c1,-36.61134030190472,0.6603901511752132,-30.53960452380948,0.5859098351624057,-9.251,0.4794501999493869
ZINCsV000004gAxZ,O=C(CCc1c(-c2ccccc2)[nH]c2ccc(Cl)cc12)Oc1ccccc1F,O=C(CCc1c(-c2ccccc2)[nH]c2ccc(Cl)cc12)Oc1ccccc1F,-36.611299544190494,0.6190691368571549,-29.21831761904763,0.2470153942989381,-9.076,0.32537613636871304
ZINCmF000003LODJ,Cc1[nH]c2ccccc2c1CCC(=O)OC[C@@H]1CCCCO1,Cc1[nH]c2ccccc2c1CCC(=O)OC[C@@H]1CCCCO1,-36.61078871238095,0.3120899299660087,-28.75554904761905,0.1860527793889574,-8.87,0.8596636407118903
